Time,Node-Strength-Variance,P1_Strategy1-Mean,P1_Strategy1-Variance,P1_Strategy2-Mean,P1_Strategy2-Variance,P2_Strategy1-Mean,P2_Strategy1-Variance,P2_Strategy2-Mean,P2_Strategy2-Variance,0-0,0-1,1-0,1-1
1,0.001,0.445,0.008,0.555,0.008,0.496,0.010,0.504,0.010,0.220,0.225,0.274,0.281
2,0.002,0.439,0.013,0.561,0.013,0.487,0.020,0.513,0.020,0.213,0.226,0.272,0.289
3,0.003,0.418,0.018,0.582,0.018,0.469,0.027,0.531,0.027,0.194,0.224,0.271,0.311
4,0.006,0.430,0.022,0.570,0.022,0.479,0.025,0.521,0.025,0.205,0.226,0.272,0.298
5,0.007,0.440,0.027,0.560,0.027,0.463,0.030,0.537,0.030,0.201,0.239,0.256,0.304
6,0.007,0.430,0.031,0.570,0.031,0.482,0.037,0.518,0.037,0.203,0.226,0.270,0.300
7,0.008,0.435,0.035,0.565,0.035,0.470,0.037,0.530,0.037,0.201,0.234,0.261,0.304
8,0.012,0.438,0.043,0.562,0.043,0.477,0.037,0.523,0.037,0.203,0.235,0.262,0.300
9,0.013,0.454,0.046,0.546,0.046,0.493,0.041,0.507,0.041,0.215,0.238,0.261,0.285
10,0.013,0.470,0.045,0.530,0.045,0.496,0.044,0.504,0.044,0.224,0.246,0.254,0.276
11,0.019,0.491,0.044,0.509,0.044,0.521,0.043,0.479,0.043,0.242,0.248,0.255,0.254
12,0.020,0.490,0.045,0.510,0.045,0.525,0.042,0.475,0.042,0.244,0.246,0.258,0.252
13,0.023,0.492,0.046,0.508,0.046,0.517,0.046,0.483,0.046,0.239,0.253,0.251,0.256
14,0.030,0.528,0.042,0.472,0.042,0.510,0.049,0.490,0.049,0.251,0.278,0.228,0.244
15,0.031,0.529,0.044,0.471,0.044,0.539,0.043,0.461,0.043,0.268,0.261,0.241,0.229
16,0.033,0.529,0.048,0.471,0.048,0.542,0.044,0.458,0.044,0.269,0.260,0.242,0.229
17,0.035,0.540,0.052,0.460,0.052,0.546,0.045,0.454,0.045,0.276,0.264,0.237,0.223
18,0.036,0.541,0.051,0.459,0.051,0.544,0.048,0.456,0.048,0.274,0.267,0.235,0.224
19,0.039,0.533,0.054,0.467,0.054,0.540,0.051,0.460,0.051,0.266,0.267,0.236,0.231
20,0.042,0.534,0.057,0.466,0.057,0.537,0.052,0.463,0.052,0.263,0.271,0.234,0.232
21,0.053,0.539,0.060,0.461,0.060,0.538,0.054,0.462,0.054,0.262,0.277,0.229,0.232
22,0.058,0.541,0.061,0.459,0.061,0.546,0.057,0.454,0.057,0.266,0.275,0.231,0.228
23,0.066,0.541,0.065,0.459,0.065,0.539,0.055,0.461,0.055,0.261,0.280,0.227,0.232
24,0.075,0.550,0.065,0.450,0.065,0.540,0.058,0.460,0.058,0.263,0.287,0.221,0.228
25,0.086,0.560,0.065,0.440,0.065,0.542,0.056,0.458,0.056,0.267,0.294,0.217,0.223
26,0.090,0.562,0.064,0.438,0.064,0.549,0.053,0.451,0.053,0.272,0.290,0.218,0.220
27,0.091,0.563,0.067,0.437,0.067,0.548,0.054,0.452,0.054,0.270,0.292,0.217,0.220
28,0.096,0.563,0.068,0.437,0.068,0.548,0.056,0.452,0.056,0.269,0.294,0.216,0.221
29,0.100,0.566,0.069,0.434,0.069,0.543,0.058,0.457,0.058,0.266,0.300,0.211,0.223
30,0.099,0.569,0.070,0.431,0.070,0.551,0.060,0.449,0.060,0.271,0.298,0.213,0.219
