Time,Node-Strength-Variance,P1_Strategy1-Mean,P1_Strategy1-Variance,P1_Strategy2-Mean,P1_Strategy2-Variance,P2_Strategy1-Mean,P2_Strategy1-Variance,P2_Strategy2-Mean,P2_Strategy2-Variance,0-0,0-1,1-0,1-1
31,0.102,0.565,0.070,0.435,0.070,0.548,0.061,0.452,0.061,0.266,0.299,0.212,0.223
32,0.106,0.563,0.070,0.437,0.070,0.543,0.063,0.457,0.063,0.261,0.302,0.210,0.227
33,0.116,0.569,0.069,0.431,0.069,0.546,0.062,0.454,0.062,0.263,0.305,0.208,0.224
34,0.126,0.570,0.071,0.430,0.071,0.545,0.058,0.455,0.058,0.263,0.307,0.207,0.223
35,0.130,0.572,0.068,0.428,0.068,0.547,0.059,0.453,0.059,0.263,0.309,0.204,0.223
36,0.135,0.572,0.068,0.428,0.068,0.554,0.056,0.446,0.056,0.267,0.305,0.209,0.219
37,0.139,0.572,0.069,0.428,0.069,0.554,0.058,0.446,0.058,0.265,0.306,0.209,0.220
38,0.142,0.572,0.066,0.428,0.066,0.553,0.059,0.447,0.059,0.264,0.308,0.207,0.221
39,0.154,0.569,0.068,0.431,0.068,0.549,0.060,0.451,0.060,0.258,0.311,0.206,0.226
40,0.160,0.568,0.069,0.432,0.069,0.551,0.061,0.449,0.061,0.257,0.311,0.206,0.226
41,0.168,0.571,0.070,0.429,0.070,0.550,0.061,0.450,0.061,0.256,0.315,0.203,0.226
42,0.168,0.568,0.072,0.432,0.072,0.553,0.063,0.447,0.063,0.255,0.313,0.205,0.228
43,0.179,0.568,0.070,0.432,0.070,0.555,0.064,0.445,0.064,0.254,0.314,0.204,0.229
44,0.190,0.566,0.071,0.434,0.071,0.559,0.065,0.441,0.065,0.253,0.313,0.206,0.228
45,0.206,0.570,0.068,0.430,0.068,0.561,0.064,0.439,0.064,0.253,0.316,0.203,0.227
46,0.204,0.567,0.068,0.433,0.068,0.561,0.065,0.439,0.065,0.252,0.315,0.204,0.229
47,0.214,0.567,0.069,0.433,0.069,0.560,0.065,0.440,0.065,0.250,0.318,0.203,0.230
48,0.220,0.568,0.068,0.432,0.068,0.560,0.067,0.440,0.067,0.249,0.320,0.202,0.230
49,0.231,0.570,0.070,0.430,0.070,0.560,0.068,0.440,0.068,0.248,0.322,0.200,0.230
50,0.237,0.573,0.070,0.427,0.070,0.560,0.068,0.440,0.068,0.248,0.325,0.198,0.228
51,0.242,0.579,0.070,0.421,0.070,0.557,0.069,0.443,0.069,0.248,0.331,0.195,0.226
52,0.247,0.581,0.070,0.419,0.070,0.563,0.067,0.437,0.067,0.252,0.329,0.197,0.223
53,0.256,0.583,0.072,0.417,0.072,0.563,0.068,0.437,0.068,0.251,0.332,0.195,0.223
54,0.270,0.589,0.070,0.411,0.070,0.561,0.069,0.439,0.069,0.250,0.339,0.189,0.222
55,0.274,0.596,0.068,0.404,0.068,0.564,0.067,0.436,0.067,0.256,0.340,0.188,0.216
56,0.294,0.595,0.069,0.405,0.069,0.564,0.067,0.436,0.067,0.253,0.342,0.188,0.217
57,0.293,0.604,0.065,0.396,0.065,0.560,0.067,0.440,0.067,0.255,0.349,0.182,0.214
58,0.293,0.604,0.066,0.396,0.066,0.562,0.066,0.438,0.066,0.255,0.348,0.183,0.213
59,0.304,0.606,0.067,0.394,0.067,0.561,0.068,0.439,0.068,0.254,0.352,0.181,0.214
60,0.302,0.612,0.065,0.388,0.065,0.559,0.068,0.441,0.068,0.256,0.356,0.177,0.211
61,0.300,0.613,0.066,0.387,0.066,0.562,0.069,0.438,0.069,0.257,0.356,0.179,0.208
62,0.320,0.616,0.066,0.384,0.066,0.563,0.071,0.437,0.071,0.255,0.361,0.176,0.209
63,0.331,0.615,0.067,0.385,0.067,0.563,0.071,0.437,0.071,0.253,0.363,0.176,0.209
64,0.341,0.614,0.068,0.386,0.068,0.566,0.070,0.434,0.070,0.253,0.360,0.177,0.209
65,0.353,0.612,0.068,0.388,0.068,0.563,0.069,0.437,0.069,0.250,0.362,0.177,0.212
66,0.366,0.612,0.069,0.388,0.069,0.567,0.069,0.433,0.069,0.251,0.361,0.178,0.210
67,0.386,0.616,0.070,0.384,0.070,0.566,0.071,0.434,0.071,0.249,0.368,0.174,0.210
68,0.410,0.617,0.070,0.383,0.070,0.568,0.072,0.432,0.072,0.247,0.369,0.173,0.210
69,0.425,0.616,0.070,0.384,0.070,0.572,0.072,0.428,0.072,0.249,0.367,0.175,0.209
70,0.415,0.618,0.070,0.382,0.070,0.568,0.071,0.432,0.071,0.247,0.371,0.173,0.209
71,0.435,0.623,0.069,0.377,0.069,0.566,0.072,0.434,0.072,0.245,0.377,0.169,0.208
72,0.451,0.621,0.071,0.379,0.071,0.565,0.073,0.435,0.073,0.241,0.380,0.169,0.210
73,0.468,0.624,0.070,0.376,0.070,0.566,0.072,0.434,0.072,0.242,0.382,0.167,0.209
74,0.465,0.626,0.070,0.374,0.070,0.562,0.074,0.438,0.074,0.239,0.387,0.164,0.210
75,0.476,0.627,0.071,0.373,0.071,0.563,0.074,0.437,0.074,0.239,0.388,0.163,0.210
76,0.485,0.628,0.072,0.372,0.072,0.564,0.074,0.436,0.074,0.238,0.390,0.162,0.210
77,0.485,0.629,0.071,0.371,0.071,0.563,0.075,0.437,0.075,0.237,0.392,0.162,0.209
78,0.494,0.633,0.070,0.367,0.070,0.565,0.076,0.435,0.076,0.238,0.395,0.160,0.207
79,0.510,0.634,0.068,0.366,0.068,0.567,0.077,0.433,0.077,0.238,0.396,0.159,0.207
80,0.514,0.636,0.068,0.364,0.068,0.570,0.076,0.430,0.076,0.241,0.395,0.159,0.205
81,0.528,0.635,0.068,0.365,0.068,0.572,0.076,0.428,0.076,0.239,0.396,0.159,0.205
82,0.528,0.634,0.069,0.366,0.069,0.571,0.075,0.429,0.075,0.239,0.395,0.160,0.206
83,0.537,0.633,0.070,0.367,0.070,0.571,0.076,0.429,0.076,0.237,0.396,0.159,0.209
84,0.550,0.634,0.071,0.366,0.071,0.575,0.075,0.425,0.075,0.237,0.396,0.160,0.206
85,0.554,0.634,0.072,0.366,0.072,0.573,0.074,0.427,0.074,0.236,0.398,0.159,0.207
86,0.557,0.633,0.073,0.367,0.073,0.577,0.075,0.423,0.075,0.236,0.397,0.160,0.206
87,0.575,0.636,0.072,0.364,0.072,0.577,0.075,0.423,0.075,0.235,0.401,0.158,0.206
88,0.605,0.638,0.071,0.362,0.071,0.579,0.076,0.421,0.076,0.233,0.405,0.155,0.207
89,0.611,0.638,0.072,0.362,0.072,0.579,0.077,0.421,0.077,0.231,0.407,0.155,0.207
90,0.611,0.640,0.073,0.360,0.073,0.578,0.078,0.422,0.078,0.230,0.410,0.154,0.207
91,0.622,0.643,0.071,0.357,0.071,0.579,0.077,0.421,0.077,0.232,0.411,0.152,0.205
92,0.625,0.643,0.073,0.357,0.073,0.579,0.075,0.421,0.075,0.232,0.411,0.152,0.205
93,0.631,0.643,0.073,0.357,0.073,0.581,0.073,0.419,0.073,0.235,0.408,0.155,0.202
94,0.635,0.642,0.073,0.358,0.073,0.583,0.074,0.417,0.074,0.235,0.407,0.155,0.203
95,0.655,0.644,0.072,0.356,0.072,0.585,0.073,0.415,0.073,0.235,0.409,0.154,0.202
96,0.666,0.645,0.072,0.355,0.072,0.582,0.072,0.418,0.072,0.234,0.411,0.153,0.203
97,0.675,0.644,0.073,0.356,0.073,0.580,0.071,0.420,0.071,0.233,0.411,0.153,0.204
98,0.694,0.647,0.070,0.353,0.070,0.582,0.071,0.418,0.071,0.234,0.413,0.151,0.202
99,0.709,0.649,0.071,0.351,0.071,0.581,0.071,0.419,0.071,0.233,0.417,0.148,0.202
100,0.712,0.652,0.071,0.348,0.071,0.580,0.071,0.420,0.071,0.233,0.419,0.147,0.201
101,0.716,0.652,0.070,0.348,0.070,0.580,0.071,0.420,0.071,0.232,0.420,0.147,0.201
102,0.717,0.651,0.068,0.349,0.068,0.581,0.070,0.419,0.070,0.233,0.418,0.147,0.201
103,0.724,0.653,0.067,0.347,0.067,0.581,0.071,0.419,0.071,0.232,0.421,0.146,0.201
104,0.744,0.654,0.067,0.346,0.067,0.583,0.070,0.417,0.070,0.234,0.420,0.145,0.200
105,0.750,0.654,0.068,0.346,0.068,0.584,0.071,0.416,0.071,0.233,0.421,0.145,0.201
106,0.761,0.656,0.067,0.344,0.067,0.583,0.071,0.417,0.071,0.232,0.424,0.143,0.201
107,0.775,0.655,0.067,0.345,0.067,0.580,0.071,0.420,0.071,0.228,0.427,0.142,0.203
108,0.775,0.656,0.068,0.344,0.068,0.583,0.069,0.417,0.069,0.234,0.422,0.143,0.201
109,0.793,0.656,0.068,0.344,0.068,0.581,0.070,0.419,0.070,0.230,0.426,0.141,0.203
110,0.802,0.655,0.069,0.345,0.069,0.582,0.070,0.418,0.070,0.230,0.425,0.141,0.205
111,0.810,0.655,0.070,0.345,0.070,0.586,0.068,0.414,0.068,0.233,0.422,0.143,0.202
112,0.811,0.653,0.071,0.347,0.071,0.583,0.068,0.417,0.068,0.230,0.422,0.143,0.205
113,0.827,0.652,0.070,0.348,0.070,0.583,0.069,0.417,0.069,0.228,0.424,0.142,0.206
114,0.834,0.653,0.070,0.347,0.070,0.584,0.069,0.416,0.069,0.228,0.425,0.142,0.205
115,0.835,0.652,0.070,0.348,0.070,0.585,0.070,0.415,0.070,0.227,0.425,0.142,0.206
116,0.862,0.655,0.069,0.345,0.069,0.586,0.070,0.414,0.070,0.227,0.427,0.140,0.205
117,0.878,0.655,0.069,0.345,0.069,0.588,0.066,0.412,0.066,0.232,0.423,0.141,0.204
118,0.875,0.656,0.070,0.344,0.070,0.587,0.067,0.413,0.067,0.232,0.424,0.140,0.204
119,0.891,0.656,0.070,0.344,0.070,0.587,0.065,0.413,0.065,0.233,0.423,0.141,0.203
120,0.906,0.657,0.071,0.343,0.071,0.587,0.066,0.413,0.066,0.231,0.426,0.139,0.204
121,0.919,0.660,0.069,0.340,0.069,0.586,0.067,0.414,0.067,0.230,0.430,0.138,0.202
122,0.929,0.662,0.069,0.338,0.069,0.588,0.066,0.412,0.066,0.231,0.431,0.137,0.201
123,0.940,0.662,0.069,0.338,0.069,0.588,0.067,0.412,0.067,0.230,0.433,0.136,0.202
124,0.955,0.660,0.070,0.340,0.070,0.590,0.068,0.410,0.068,0.228,0.432,0.137,0.203
125,0.966,0.659,0.070,0.341,0.070,0.592,0.067,0.408,0.067,0.229,0.430,0.137,0.204
126,0.983,0.658,0.070,0.342,0.070,0.593,0.067,0.407,0.067,0.228,0.430,0.137,0.205
127,0.995,0.659,0.069,0.341,0.069,0.593,0.067,0.407,0.067,0.227,0.433,0.136,0.205
128,1.015,0.660,0.070,0.340,0.070,0.595,0.067,0.405,0.067,0.228,0.432,0.136,0.204
129,1.032,0.660,0.069,0.340,0.069,0.595,0.067,0.405,0.067,0.225,0.434,0.135,0.205
130,1.042,0.659,0.068,0.341,0.068,0.597,0.068,0.403,0.068,0.225,0.434,0.136,0.206
131,1.048,0.658,0.069,0.342,0.069,0.597,0.068,0.403,0.068,0.223,0.434,0.136,0.207
132,1.059,0.658,0.069,0.342,0.069,0.597,0.069,0.403,0.069,0.222,0.436,0.135,0.207
133,1.073,0.658,0.069,0.342,0.069,0.598,0.069,0.402,0.069,0.220,0.438,0.134,0.208
134,1.082,0.659,0.069,0.341,0.069,0.599,0.068,0.401,0.068,0.222,0.438,0.134,0.206
135,1.068,0.660,0.069,0.340,0.069,0.599,0.068,0.401,0.068,0.222,0.437,0.135,0.206
136,1.072,0.660,0.070,0.340,0.070,0.598,0.068,0.402,0.068,0.221,0.439,0.134,0.206
137,1.103,0.661,0.071,0.339,0.071,0.597,0.069,0.403,0.069,0.218,0.443,0.132,0.207
138,1.127,0.663,0.071,0.337,0.071,0.593,0.069,0.407,0.069,0.216,0.448,0.130,0.207
139,1.134,0.663,0.070,0.337,0.070,0.594,0.069,0.406,0.069,0.215,0.448,0.130,0.208
140,1.144,0.666,0.069,0.334,0.069,0.595,0.068,0.405,0.068,0.219,0.447,0.130,0.204
141,1.159,0.665,0.069,0.335,0.069,0.595,0.069,0.405,0.069,0.217,0.448,0.129,0.206
142,1.158,0.665,0.069,0.335,0.069,0.593,0.070,0.407,0.070,0.214,0.450,0.129,0.207
143,1.183,0.664,0.067,0.336,0.067,0.592,0.070,0.408,0.070,0.211,0.453,0.126,0.210
144,1.177,0.666,0.067,0.334,0.067,0.592,0.070,0.408,0.070,0.211,0.455,0.126,0.208
145,1.183,0.668,0.068,0.332,0.068,0.590,0.071,0.410,0.071,0.210,0.459,0.124,0.208
146,1.201,0.671,0.067,0.329,0.067,0.589,0.071,0.411,0.071,0.209,0.463,0.122,0.207
147,1.221,0.673,0.066,0.327,0.066,0.590,0.070,0.410,0.070,0.210,0.463,0.122,0.205
148,1.234,0.674,0.067,0.326,0.067,0.590,0.070,0.410,0.070,0.209,0.465,0.121,0.205
149,1.266,0.675,0.068,0.325,0.068,0.590,0.071,0.410,0.071,0.207,0.468,0.120,0.205
150,1.294,0.678,0.067,0.322,0.067,0.591,0.072,0.409,0.072,0.207,0.472,0.118,0.204
151,1.314,0.678,0.066,0.322,0.066,0.591,0.072,0.409,0.072,0.204,0.474,0.117,0.205
152,1.333,0.680,0.066,0.320,0.066,0.595,0.068,0.405,0.068,0.211,0.469,0.119,0.201
153,1.348,0.681,0.065,0.319,0.065,0.596,0.068,0.404,0.068,0.211,0.470,0.119,0.200
154,1.361,0.683,0.064,0.317,0.064,0.596,0.069,0.404,0.069,0.210,0.473,0.118,0.199
155,1.368,0.683,0.064,0.317,0.064,0.594,0.069,0.406,0.069,0.208,0.475,0.117,0.201
156,1.385,0.683,0.064,0.317,0.064,0.594,0.068,0.406,0.068,0.207,0.476,0.116,0.200
157,1.399,0.682,0.064,0.318,0.064,0.594,0.069,0.406,0.069,0.204,0.478,0.116,0.202
158,1.396,0.683,0.064,0.317,0.064,0.596,0.069,0.404,0.069,0.206,0.477,0.117,0.201
159,1.410,0.683,0.064,0.317,0.064,0.599,0.069,0.401,0.069,0.206,0.477,0.117,0.201
160,1.415,0.684,0.065,0.316,0.065,0.601,0.068,0.399,0.068,0.210,0.474,0.118,0.198
161,1.440,0.685,0.065,0.315,0.065,0.602,0.068,0.398,0.068,0.208,0.477,0.117,0.198
162,1.447,0.686,0.065,0.314,0.065,0.601,0.068,0.399,0.068,0.208,0.478,0.117,0.197
163,1.466,0.688,0.064,0.312,0.064,0.602,0.069,0.398,0.069,0.207,0.481,0.116,0.196
164,1.463,0.690,0.063,0.310,0.063,0.603,0.068,0.397,0.068,0.209,0.481,0.115,0.195
165,1.484,0.692,0.063,0.308,0.063,0.602,0.069,0.398,0.069,0.207,0.485,0.113,0.195
166,1.491,0.694,0.062,0.306,0.062,0.602,0.068,0.398,0.068,0.207,0.488,0.112,0.194
167,1.491,0.694,0.062,0.306,0.062,0.603,0.068,0.397,0.068,0.208,0.487,0.112,0.193
168,1.490,0.695,0.062,0.305,0.062,0.601,0.069,0.399,0.069,0.206,0.489,0.111,0.194
169,1.498,0.697,0.062,0.303,0.062,0.603,0.070,0.397,0.070,0.205,0.492,0.110,0.193
170,1.508,0.698,0.063,0.302,0.063,0.601,0.071,0.399,0.071,0.203,0.495,0.109,0.193
171,1.514,0.698,0.064,0.302,0.064,0.601,0.071,0.399,0.071,0.201,0.497,0.109,0.194
172,1.523,0.698,0.064,0.302,0.064,0.601,0.072,0.399,0.072,0.199,0.499,0.108,0.194
173,1.523,0.697,0.064,0.303,0.064,0.600,0.072,0.400,0.072,0.198,0.499,0.107,0.195
174,1.534,0.697,0.065,0.303,0.065,0.602,0.072,0.398,0.072,0.198,0.499,0.108,0.195
175,1.540,0.697,0.065,0.303,0.065,0.601,0.073,0.399,0.073,0.196,0.501,0.107,0.196
176,1.557,0.698,0.065,0.302,0.065,0.602,0.072,0.398,0.072,0.198,0.500,0.108,0.195
177,1.566,0.697,0.065,0.303,0.065,0.606,0.070,0.394,0.070,0.202,0.495,0.109,0.194
178,1.592,0.697,0.066,0.303,0.066,0.606,0.070,0.394,0.070,0.203,0.494,0.109,0.194
179,1.620,0.699,0.066,0.301,0.066,0.606,0.070,0.394,0.070,0.202,0.498,0.107,0.193
180,1.627,0.700,0.066,0.300,0.066,0.607,0.071,0.393,0.071,0.200,0.499,0.107,0.194
181,1.624,0.700,0.066,0.300,0.066,0.606,0.071,0.394,0.071,0.199,0.501,0.107,0.193
182,1.629,0.701,0.065,0.299,0.065,0.605,0.072,0.395,0.072,0.197,0.504,0.105,0.194
183,1.642,0.703,0.064,0.297,0.064,0.603,0.072,0.397,0.072,0.196,0.507,0.103,0.194
184,1.652,0.702,0.063,0.298,0.063,0.604,0.070,0.396,0.070,0.202,0.500,0.105,0.193
185,1.659,0.704,0.063,0.296,0.063,0.602,0.071,0.398,0.071,0.200,0.504,0.103,0.193
186,1.659,0.704,0.063,0.296,0.063,0.604,0.070,0.396,0.070,0.203,0.501,0.104,0.192
187,1.656,0.707,0.062,0.293,0.062,0.602,0.070,0.398,0.070,0.203,0.504,0.103,0.190
188,1.666,0.707,0.062,0.293,0.062,0.603,0.069,0.397,0.069,0.204,0.503,0.103,0.189
189,1.695,0.711,0.061,0.289,0.061,0.602,0.069,0.398,0.069,0.202,0.509,0.100,0.189
190,1.700,0.712,0.061,0.288,0.061,0.605,0.068,0.395,0.068,0.205,0.507,0.101,0.186
191,1.726,0.713,0.061,0.287,0.061,0.604,0.068,0.396,0.068,0.202,0.510,0.100,0.187
192,1.733,0.715,0.061,0.285,0.061,0.605,0.068,0.395,0.068,0.202,0.512,0.100,0.186
193,1.744,0.715,0.061,0.285,0.061,0.606,0.068,0.394,0.068,0.203,0.512,0.099,0.185
194,1.755,0.714,0.061,0.286,0.061,0.605,0.069,0.395,0.069,0.200,0.514,0.099,0.187
195,1.759,0.715,0.061,0.285,0.061,0.604,0.070,0.396,0.070,0.198,0.517,0.098,0.188
196,1.771,0.715,0.062,0.285,0.062,0.603,0.069,0.397,0.069,0.200,0.515,0.098,0.187
197,1.781,0.715,0.062,0.285,0.062,0.603,0.070,0.397,0.070,0.198,0.517,0.097,0.188
198,1.793,0.714,0.063,0.286,0.063,0.604,0.070,0.396,0.070,0.196,0.518,0.097,0.189
199,1.807,0.712,0.064,0.288,0.064,0.602,0.070,0.398,0.070,0.193,0.519,0.098,0.191
200,1.815,0.715,0.062,0.285,0.062,0.603,0.070,0.397,0.070,0.196,0.519,0.097,0.188
201,1.840,0.716,0.061,0.284,0.061,0.602,0.070,0.398,0.070,0.193,0.523,0.095,0.188
202,1.867,0.718,0.062,0.282,0.062,0.603,0.070,0.397,0.070,0.193,0.525,0.095,0.187
203,1.885,0.719,0.060,0.281,0.060,0.603,0.071,0.397,0.071,0.191,0.528,0.094,0.187
204,1.903,0.720,0.060,0.280,0.060,0.602,0.071,0.398,0.071,0.189,0.531,0.093,0.187
205,1.942,0.722,0.060,0.278,0.060,0.601,0.072,0.399,0.072,0.186,0.536,0.090,0.188
206,1.947,0.722,0.060,0.278,0.060,0.604,0.071,0.396,0.071,0.189,0.533,0.091,0.187
207,1.947,0.722,0.059,0.278,0.059,0.604,0.072,0.396,0.072,0.187,0.535,0.091,0.187
208,1.961,0.723,0.060,0.277,0.060,0.605,0.072,0.395,0.072,0.188,0.535,0.091,0.186
209,1.984,0.726,0.059,0.274,0.059,0.605,0.073,0.395,0.073,0.185,0.540,0.089,0.186
210,2.020,0.725,0.060,0.275,0.060,0.606,0.072,0.394,0.072,0.184,0.541,0.088,0.186
211,2.038,0.727,0.060,0.273,0.060,0.606,0.073,0.394,0.073,0.182,0.544,0.087,0.186
212,2.055,0.728,0.060,0.272,0.060,0.604,0.073,0.396,0.073,0.180,0.547,0.086,0.186
213,2.061,0.727,0.060,0.273,0.060,0.603,0.074,0.397,0.074,0.180,0.548,0.086,0.187
214,2.087,0.729,0.060,0.271,0.060,0.602,0.074,0.398,0.074,0.177,0.552,0.084,0.187
215,2.103,0.730,0.060,0.270,0.060,0.601,0.075,0.399,0.075,0.175,0.555,0.083,0.187
216,2.121,0.731,0.060,0.269,0.060,0.602,0.074,0.398,0.074,0.176,0.555,0.083,0.186
217,2.120,0.732,0.060,0.268,0.060,0.602,0.074,0.398,0.074,0.175,0.556,0.083,0.185
218,2.139,0.731,0.060,0.269,0.060,0.601,0.075,0.399,0.075,0.173,0.557,0.082,0.187
219,2.155,0.732,0.059,0.268,0.059,0.600,0.075,0.400,0.075,0.172,0.560,0.081,0.187
220,2.173,0.733,0.059,0.267,0.059,0.603,0.072,0.397,0.072,0.180,0.553,0.083,0.183
221,2.183,0.733,0.059,0.267,0.059,0.602,0.074,0.398,0.074,0.177,0.556,0.082,0.185
222,2.187,0.732,0.060,0.268,0.060,0.602,0.074,0.398,0.074,0.174,0.558,0.082,0.186
223,2.217,0.734,0.060,0.266,0.060,0.601,0.075,0.399,0.075,0.173,0.561,0.081,0.185
224,2.220,0.735,0.058,0.265,0.058,0.602,0.074,0.398,0.074,0.174,0.561,0.081,0.184
225,2.214,0.734,0.059,0.266,0.059,0.605,0.071,0.395,0.071,0.184,0.550,0.084,0.182
226,2.238,0.735,0.059,0.265,0.059,0.605,0.072,0.395,0.072,0.181,0.554,0.083,0.182
227,2.259,0.735,0.060,0.265,0.060,0.605,0.071,0.395,0.071,0.183,0.552,0.084,0.181
228,2.274,0.734,0.060,0.266,0.060,0.605,0.072,0.395,0.072,0.180,0.554,0.083,0.183
229,2.296,0.734,0.060,0.266,0.060,0.605,0.072,0.395,0.072,0.179,0.555,0.083,0.182
230,2.305,0.735,0.060,0.265,0.060,0.605,0.073,0.395,0.073,0.177,0.558,0.082,0.183
231,2.330,0.734,0.060,0.266,0.060,0.604,0.073,0.396,0.073,0.174,0.561,0.082,0.184
232,2.337,0.736,0.060,0.264,0.060,0.604,0.074,0.396,0.074,0.173,0.564,0.081,0.183
233,2.335,0.737,0.060,0.263,0.060,0.604,0.074,0.396,0.074,0.173,0.565,0.081,0.182
234,2.352,0.738,0.060,0.262,0.060,0.604,0.075,0.396,0.075,0.171,0.568,0.080,0.182
235,2.364,0.739,0.061,0.261,0.061,0.605,0.074,0.395,0.074,0.174,0.565,0.081,0.181
236,2.378,0.738,0.061,0.262,0.061,0.605,0.073,0.395,0.073,0.176,0.562,0.082,0.181
237,2.381,0.738,0.061,0.262,0.061,0.604,0.074,0.396,0.074,0.174,0.565,0.081,0.181
238,2.405,0.738,0.061,0.262,0.061,0.606,0.072,0.394,0.072,0.180,0.558,0.082,0.180
239,2.424,0.738,0.062,0.262,0.062,0.606,0.073,0.394,0.073,0.176,0.562,0.081,0.181
240,2.412,0.739,0.060,0.261,0.060,0.604,0.074,0.396,0.074,0.175,0.564,0.081,0.180
241,2.431,0.740,0.060,0.260,0.060,0.605,0.074,0.395,0.074,0.174,0.566,0.080,0.180
242,2.447,0.742,0.060,0.258,0.060,0.605,0.075,0.395,0.075,0.172,0.569,0.079,0.180
243,2.470,0.743,0.059,0.257,0.059,0.604,0.075,0.396,0.075,0.170,0.573,0.077,0.180
244,2.480,0.744,0.059,0.256,0.059,0.606,0.075,0.394,0.075,0.171,0.573,0.077,0.179
245,2.480,0.744,0.059,0.256,0.059,0.606,0.074,0.394,0.074,0.174,0.570,0.078,0.178
246,2.495,0.744,0.059,0.256,0.059,0.604,0.075,0.396,0.075,0.171,0.573,0.077,0.179
247,2.500,0.746,0.058,0.254,0.058,0.603,0.076,0.397,0.076,0.169,0.577,0.075,0.179
248,2.514,0.746,0.059,0.254,0.059,0.604,0.076,0.396,0.076,0.167,0.579,0.075,0.179
249,2.521,0.746,0.059,0.254,0.059,0.603,0.074,0.397,0.074,0.171,0.576,0.076,0.177
250,2.543,0.747,0.059,0.253,0.059,0.601,0.075,0.399,0.075,0.167,0.580,0.075,0.178
251,2.582,0.747,0.059,0.253,0.059,0.600,0.076,0.400,0.076,0.163,0.583,0.074,0.180
252,2.608,0.747,0.060,0.253,0.060,0.601,0.076,0.399,0.076,0.162,0.585,0.073,0.180
253,2.603,0.747,0.060,0.253,0.060,0.602,0.076,0.398,0.076,0.161,0.585,0.073,0.180
254,2.636,0.748,0.060,0.252,0.060,0.601,0.077,0.399,0.077,0.159,0.590,0.071,0.180
