Time,Node-Strength-Variance,P1_Strategy1-Mean,P1_Strategy1-Variance,P1_Strategy2-Mean,P1_Strategy2-Variance,P2_Strategy1-Mean,P2_Strategy1-Variance,P2_Strategy2-Mean,P2_Strategy2-Variance,0-0,0-1,1-0,1-1
1,0.001,0.476,0.012,0.524,0.012,0.489,0.010,0.511,0.010,0.232,0.243,0.256,0.268
2,0.002,0.484,0.021,0.516,0.021,0.477,0.017,0.523,0.017,0.230,0.254,0.245,0.271
3,0.004,0.503,0.028,0.497,0.028,0.513,0.014,0.487,0.014,0.256,0.247,0.254,0.242
4,0.005,0.504,0.038,0.496,0.038,0.514,0.018,0.486,0.018,0.256,0.247,0.254,0.243
5,0.007,0.502,0.048,0.498,0.048,0.530,0.021,0.470,0.021,0.263,0.239,0.262,0.236
6,0.007,0.502,0.051,0.498,0.051,0.534,0.028,0.466,0.028,0.265,0.236,0.264,0.234
7,0.009,0.508,0.052,0.492,0.052,0.531,0.033,0.469,0.033,0.266,0.242,0.258,0.233
8,0.014,0.516,0.056,0.484,0.056,0.544,0.037,0.456,0.037,0.275,0.241,0.259,0.225
9,0.015,0.519,0.057,0.481,0.057,0.566,0.039,0.434,0.039,0.287,0.232,0.266,0.215
10,0.018,0.517,0.059,0.483,0.059,0.558,0.041,0.442,0.041,0.281,0.236,0.262,0.221
11,0.025,0.535,0.057,0.465,0.057,0.558,0.043,0.442,0.043,0.290,0.246,0.251,0.213
12,0.027,0.552,0.055,0.448,0.055,0.568,0.044,0.432,0.044,0.302,0.250,0.246,0.202
13,0.028,0.546,0.057,0.454,0.057,0.567,0.047,0.433,0.047,0.296,0.250,0.248,0.206
14,0.028,0.551,0.061,0.449,0.061,0.575,0.043,0.425,0.043,0.303,0.248,0.248,0.201
15,0.032,0.547,0.059,0.453,0.059,0.578,0.045,0.422,0.045,0.301,0.247,0.251,0.202
16,0.033,0.541,0.061,0.459,0.061,0.583,0.045,0.417,0.045,0.299,0.242,0.257,0.203
17,0.033,0.542,0.065,0.458,0.065,0.580,0.046,0.420,0.046,0.298,0.245,0.255,0.203
18,0.034,0.547,0.067,0.453,0.067,0.576,0.046,0.424,0.046,0.297,0.250,0.250,0.203
19,0.041,0.547,0.070,0.453,0.070,0.587,0.040,0.413,0.040,0.303,0.245,0.255,0.198
20,0.048,0.544,0.073,0.456,0.073,0.590,0.042,0.410,0.042,0.301,0.243,0.257,0.199
21,0.052,0.538,0.074,0.462,0.074,0.581,0.045,0.419,0.045,0.291,0.248,0.255,0.206
22,0.056,0.538,0.074,0.462,0.074,0.583,0.049,0.417,0.049,0.289,0.248,0.255,0.208
23,0.058,0.531,0.074,0.469,0.074,0.588,0.052,0.412,0.052,0.287,0.244,0.260,0.209
24,0.066,0.535,0.075,0.465,0.075,0.598,0.050,0.402,0.050,0.292,0.242,0.261,0.204
25,0.072,0.533,0.078,0.467,0.078,0.599,0.048,0.401,0.048,0.290,0.243,0.262,0.205
26,0.074,0.534,0.081,0.466,0.081,0.601,0.052,0.399,0.052,0.289,0.245,0.261,0.204
