Time,Node-Strength-Variance,P1_Strategy1-Mean,P1_Strategy1-Variance,P1_Strategy2-Mean,P1_Strategy2-Variance,P2_Strategy1-Mean,P2_Strategy1-Variance,P2_Strategy2-Mean,P2_Strategy2-Variance,0-0,0-1,1-0,1-1
1,0.001,0.490,0.008,0.510,0.008,0.515,0.008,0.485,0.008,0.252,0.239,0.262,0.248
2,0.002,0.472,0.012,0.528,0.012,0.540,0.015,0.460,0.015,0.253,0.219,0.284,0.244
3,0.004,0.513,0.019,0.487,0.019,0.520,0.020,0.480,0.020,0.264,0.249,0.250,0.236
4,0.004,0.511,0.026,0.489,0.026,0.491,0.016,0.509,0.016,0.248,0.263,0.238,0.251
5,0.005,0.520,0.032,0.480,0.032,0.509,0.028,0.491,0.028,0.260,0.260,0.241,0.239
6,0.006,0.529,0.038,0.471,0.038,0.517,0.033,0.483,0.033,0.268,0.261,0.241,0.231
7,0.007,0.528,0.041,0.472,0.041,0.530,0.041,0.470,0.041,0.272,0.256,0.246,0.226
8,0.007,0.535,0.047,0.465,0.047,0.537,0.037,0.463,0.037,0.278,0.256,0.246,0.220
9,0.006,0.539,0.052,0.461,0.052,0.538,0.037,0.462,0.037,0.282,0.257,0.244,0.217
10,0.008,0.534,0.057,0.466,0.057,0.536,0.040,0.464,0.040,0.278,0.256,0.245,0.221
11,0.010,0.550,0.047,0.450,0.047,0.533,0.043,0.467,0.043,0.283,0.266,0.235,0.215
12,0.010,0.544,0.048,0.456,0.048,0.531,0.043,0.469,0.043,0.280,0.264,0.235,0.220
13,0.012,0.539,0.050,0.461,0.050,0.540,0.047,0.460,0.047,0.280,0.258,0.241,0.220
14,0.013,0.538,0.050,0.462,0.050,0.541,0.049,0.459,0.049,0.281,0.258,0.241,0.221
15,0.015,0.543,0.051,0.457,0.051,0.547,0.052,0.453,0.052,0.286,0.257,0.240,0.217
16,0.020,0.547,0.052,0.453,0.052,0.545,0.056,0.455,0.056,0.285,0.261,0.236,0.218
17,0.022,0.551,0.051,0.449,0.051,0.544,0.059,0.456,0.059,0.286,0.265,0.232,0.218
18,0.026,0.561,0.046,0.439,0.046,0.554,0.062,0.446,0.062,0.294,0.267,0.229,0.210
19,0.025,0.557,0.047,0.443,0.047,0.547,0.064,0.453,0.064,0.289,0.268,0.227,0.215
20,0.025,0.562,0.046,0.438,0.046,0.552,0.064,0.448,0.064,0.295,0.267,0.227,0.211
