Time,Node-Strength-Variance,P1_Strategy1-Mean,P1_Strategy1-Variance,P1_Strategy2-Mean,P1_Strategy2-Variance,P2_Strategy1-Mean,P2_Strategy1-Variance,P2_Strategy2-Mean,P2_Strategy2-Variance,0-0,0-1,1-0,1-1
1,0.001,0.539,0.013,0.461,0.013,0.478,0.007,0.522,0.007,0.257,0.283,0.220,0.241
2,0.002,0.550,0.024,0.450,0.024,0.460,0.016,0.540,0.016,0.251,0.299,0.206,0.244
3,0.004,0.585,0.030,0.415,0.030,0.456,0.021,0.544,0.021,0.264,0.321,0.187,0.228
4,0.006,0.609,0.036,0.391,0.036,0.474,0.029,0.526,0.029,0.283,0.325,0.183,0.208
5,0.009,0.607,0.041,0.393,0.041,0.474,0.035,0.526,0.035,0.281,0.326,0.184,0.210
6,0.012,0.616,0.040,0.384,0.040,0.490,0.044,0.510,0.044,0.293,0.324,0.184,0.200
7,0.014,0.604,0.040,0.396,0.040,0.485,0.042,0.515,0.042,0.282,0.322,0.187,0.209
8,0.019,0.620,0.040,0.380,0.040,0.491,0.038,0.509,0.038,0.291,0.329,0.182,0.198
9,0.022,0.639,0.045,0.361,0.045,0.480,0.040,0.520,0.040,0.293,0.346,0.169,0.192
10,0.024,0.640,0.048,0.360,0.048,0.482,0.044,0.518,0.044,0.293,0.347,0.168,0.192
11,0.026,0.647,0.049,0.353,0.049,0.485,0.048,0.515,0.048,0.298,0.350,0.166,0.187
12,0.027,0.644,0.051,0.356,0.051,0.487,0.048,0.513,0.048,0.297,0.348,0.168,0.188
13,0.033,0.653,0.050,0.347,0.050,0.486,0.051,0.514,0.051,0.296,0.356,0.162,0.186
14,0.035,0.653,0.053,0.347,0.053,0.481,0.056,0.519,0.056,0.291,0.362,0.160,0.188
15,0.036,0.654,0.055,0.346,0.055,0.498,0.058,0.502,0.058,0.299,0.354,0.164,0.182
16,0.039,0.655,0.058,0.345,0.058,0.498,0.058,0.502,0.058,0.299,0.356,0.163,0.182
17,0.041,0.650,0.062,0.350,0.062,0.503,0.060,0.497,0.060,0.301,0.350,0.166,0.183
18,0.039,0.654,0.064,0.346,0.064,0.504,0.061,0.496,0.061,0.302,0.352,0.165,0.181
19,0.044,0.649,0.066,0.351,0.066,0.503,0.061,0.497,0.061,0.298,0.351,0.166,0.185
20,0.051,0.659,0.068,0.341,0.068,0.497,0.062,0.503,0.062,0.296,0.363,0.159,0.183
21,0.056,0.656,0.069,0.344,0.069,0.500,0.062,0.500,0.062,0.296,0.361,0.160,0.183
22,0.058,0.650,0.070,0.350,0.070,0.514,0.067,0.486,0.067,0.298,0.352,0.166,0.184
23,0.063,0.649,0.072,0.351,0.072,0.517,0.066,0.483,0.066,0.299,0.350,0.167,0.184
24,0.062,0.662,0.065,0.338,0.065,0.511,0.066,0.489,0.066,0.301,0.361,0.159,0.179
25,0.064,0.657,0.065,0.343,0.065,0.505,0.069,0.495,0.069,0.293,0.364,0.159,0.184
26,0.067,0.658,0.068,0.342,0.068,0.503,0.071,0.497,0.071,0.291,0.366,0.157,0.185
27,0.075,0.662,0.067,0.338,0.067,0.498,0.073,0.502,0.073,0.287,0.375,0.151,0.187
28,0.090,0.669,0.063,0.331,0.063,0.492,0.075,0.508,0.075,0.281,0.387,0.143,0.188
29,0.097,0.671,0.065,0.329,0.065,0.484,0.076,0.516,0.076,0.275,0.395,0.139,0.190
30,0.104,0.675,0.065,0.325,0.065,0.483,0.074,0.517,0.074,0.275,0.400,0.136,0.189
31,0.108,0.677,0.065,0.323,0.065,0.490,0.076,0.510,0.076,0.277,0.400,0.137,0.186
32,0.109,0.674,0.067,0.326,0.067,0.485,0.077,0.515,0.077,0.271,0.402,0.136,0.190
33,0.114,0.669,0.067,0.331,0.067,0.483,0.080,0.517,0.080,0.266,0.403,0.136,0.195
34,0.121,0.672,0.067,0.328,0.067,0.490,0.081,0.510,0.081,0.270,0.402,0.135,0.192
35,0.122,0.673,0.065,0.327,0.065,0.488,0.083,0.512,0.083,0.267,0.406,0.135,0.193
36,0.125,0.672,0.066,0.328,0.066,0.499,0.078,0.501,0.078,0.274,0.397,0.139,0.189
37,0.132,0.676,0.066,0.324,0.066,0.497,0.079,0.503,0.079,0.273,0.403,0.135,0.188
38,0.140,0.676,0.067,0.324,0.067,0.503,0.081,0.497,0.081,0.275,0.401,0.136,0.188
39,0.144,0.679,0.067,0.321,0.067,0.500,0.082,0.500,0.082,0.272,0.407,0.133,0.188
40,0.153,0.675,0.067,0.325,0.067,0.492,0.082,0.508,0.082,0.263,0.412,0.132,0.193
41,0.160,0.673,0.068,0.327,0.068,0.493,0.082,0.507,0.082,0.262,0.412,0.132,0.194
42,0.175,0.673,0.069,0.327,0.069,0.495,0.081,0.505,0.081,0.262,0.411,0.133,0.194
