Time,Node-Strength-Variance,P1_Strategy1-Mean,P1_Strategy1-Variance,P1_Strategy2-Mean,P1_Strategy2-Variance,P2_Strategy1-Mean,P2_Strategy1-Variance,P2_Strategy2-Mean,P2_Strategy2-Variance,0-0,0-1,1-0,1-1
43,0.183,0.675,0.069,0.325,0.069,0.493,0.083,0.507,0.083,0.259,0.416,0.131,0.195
44,0.193,0.682,0.069,0.318,0.069,0.491,0.084,0.509,0.084,0.259,0.424,0.126,0.192
45,0.202,0.682,0.069,0.318,0.069,0.490,0.085,0.510,0.085,0.256,0.427,0.124,0.193
46,0.215,0.686,0.070,0.314,0.070,0.488,0.085,0.512,0.085,0.254,0.432,0.121,0.193
47,0.219,0.687,0.070,0.313,0.070,0.496,0.085,0.504,0.085,0.259,0.428,0.123,0.190
48,0.231,0.692,0.067,0.308,0.067,0.499,0.085,0.501,0.085,0.260,0.432,0.122,0.187
49,0.234,0.694,0.068,0.306,0.068,0.496,0.085,0.504,0.085,0.260,0.434,0.120,0.186
50,0.244,0.696,0.067,0.304,0.067,0.497,0.084,0.503,0.084,0.261,0.436,0.119,0.185
51,0.256,0.698,0.067,0.302,0.067,0.495,0.085,0.505,0.085,0.258,0.440,0.117,0.185
52,0.257,0.701,0.066,0.299,0.066,0.495,0.087,0.505,0.087,0.258,0.443,0.116,0.183
53,0.263,0.703,0.066,0.297,0.066,0.494,0.087,0.506,0.087,0.256,0.447,0.114,0.183
54,0.277,0.707,0.067,0.293,0.067,0.493,0.088,0.507,0.088,0.253,0.453,0.111,0.182
55,0.284,0.712,0.064,0.288,0.064,0.492,0.086,0.508,0.086,0.254,0.457,0.110,0.179
56,0.301,0.711,0.063,0.289,0.063,0.492,0.086,0.508,0.086,0.253,0.458,0.110,0.180
57,0.307,0.708,0.064,0.292,0.064,0.494,0.088,0.506,0.088,0.251,0.457,0.111,0.181
58,0.320,0.712,0.065,0.288,0.065,0.496,0.087,0.504,0.087,0.252,0.459,0.109,0.179
59,0.321,0.709,0.065,0.291,0.065,0.494,0.086,0.506,0.086,0.250,0.459,0.110,0.181
60,0.327,0.713,0.066,0.287,0.066,0.491,0.086,0.509,0.086,0.248,0.465,0.108,0.179
61,0.330,0.715,0.067,0.285,0.067,0.491,0.087,0.509,0.087,0.247,0.468,0.106,0.178
62,0.344,0.717,0.066,0.283,0.066,0.489,0.089,0.511,0.089,0.245,0.473,0.104,0.179
63,0.360,0.720,0.067,0.280,0.067,0.486,0.090,0.514,0.090,0.241,0.480,0.101,0.179
64,0.386,0.721,0.067,0.279,0.067,0.485,0.091,0.515,0.091,0.236,0.485,0.099,0.179
65,0.390,0.725,0.064,0.275,0.064,0.485,0.092,0.515,0.092,0.236,0.489,0.097,0.178
66,0.393,0.727,0.062,0.273,0.062,0.485,0.093,0.515,0.093,0.235,0.493,0.096,0.177
67,0.406,0.730,0.063,0.270,0.063,0.486,0.093,0.514,0.093,0.234,0.496,0.095,0.175
68,0.415,0.731,0.063,0.269,0.063,0.484,0.094,0.516,0.094,0.231,0.500,0.093,0.176
69,0.425,0.735,0.060,0.265,0.060,0.483,0.094,0.517,0.094,0.231,0.504,0.091,0.174
70,0.421,0.738,0.060,0.262,0.060,0.483,0.093,0.517,0.093,0.233,0.504,0.091,0.172
71,0.418,0.740,0.059,0.260,0.059,0.482,0.094,0.518,0.094,0.232,0.508,0.090,0.170
72,0.428,0.743,0.057,0.257,0.057,0.482,0.095,0.518,0.095,0.231,0.511,0.088,0.169
73,0.432,0.740,0.057,0.260,0.057,0.483,0.093,0.517,0.093,0.232,0.508,0.089,0.170
74,0.436,0.742,0.058,0.258,0.058,0.483,0.092,0.517,0.092,0.232,0.509,0.089,0.169
75,0.435,0.742,0.059,0.258,0.059,0.484,0.093,0.516,0.093,0.232,0.510,0.089,0.170
76,0.438,0.739,0.059,0.261,0.059,0.487,0.094,0.513,0.094,0.231,0.508,0.090,0.171
77,0.446,0.740,0.060,0.260,0.060,0.484,0.094,0.516,0.094,0.227,0.512,0.089,0.172
78,0.465,0.743,0.059,0.257,0.059,0.484,0.095,0.516,0.095,0.226,0.517,0.086,0.170
79,0.469,0.744,0.060,0.256,0.060,0.484,0.096,0.516,0.096,0.225,0.519,0.086,0.170
80,0.464,0.745,0.061,0.255,0.061,0.483,0.096,0.517,0.096,0.226,0.519,0.085,0.170
81,0.478,0.746,0.061,0.254,0.061,0.483,0.097,0.517,0.097,0.223,0.523,0.084,0.170
82,0.497,0.747,0.060,0.253,0.060,0.482,0.097,0.518,0.097,0.222,0.526,0.082,0.170
83,0.508,0.748,0.060,0.252,0.060,0.481,0.098,0.519,0.098,0.220,0.528,0.081,0.171
84,0.514,0.749,0.060,0.251,0.060,0.480,0.097,0.520,0.097,0.219,0.531,0.081,0.170
85,0.532,0.753,0.060,0.247,0.060,0.478,0.098,0.522,0.098,0.216,0.537,0.078,0.169
86,0.536,0.754,0.061,0.246,0.061,0.476,0.098,0.524,0.098,0.213,0.541,0.077,0.169
87,0.539,0.757,0.061,0.243,0.061,0.473,0.099,0.527,0.099,0.212,0.545,0.075,0.167
88,0.548,0.758,0.061,0.242,0.061,0.471,0.099,0.529,0.099,0.210,0.548,0.075,0.168
89,0.547,0.760,0.061,0.240,0.061,0.472,0.098,0.528,0.098,0.211,0.550,0.074,0.166
90,0.558,0.765,0.059,0.235,0.059,0.470,0.099,0.530,0.099,0.209,0.556,0.071,0.164
91,0.564,0.763,0.059,0.237,0.059,0.472,0.098,0.528,0.098,0.210,0.554,0.072,0.165
92,0.565,0.764,0.060,0.236,0.060,0.473,0.096,0.527,0.096,0.211,0.553,0.073,0.164
93,0.577,0.765,0.060,0.235,0.060,0.472,0.098,0.528,0.098,0.208,0.558,0.071,0.163
94,0.601,0.769,0.058,0.231,0.058,0.471,0.098,0.529,0.098,0.206,0.563,0.069,0.161
95,0.613,0.771,0.058,0.229,0.058,0.470,0.099,0.530,0.099,0.204,0.567,0.068,0.161
96,0.624,0.770,0.058,0.230,0.058,0.473,0.098,0.527,0.098,0.205,0.565,0.069,0.160
97,0.629,0.771,0.059,0.229,0.059,0.472,0.098,0.528,0.098,0.204,0.567,0.069,0.160
98,0.647,0.771,0.059,0.229,0.059,0.470,0.099,0.530,0.099,0.201,0.570,0.067,0.161
99,0.658,0.771,0.060,0.229,0.060,0.470,0.099,0.530,0.099,0.199,0.572,0.067,0.162
100,0.679,0.772,0.060,0.228,0.060,0.473,0.100,0.527,0.100,0.199,0.572,0.067,0.161
101,0.694,0.773,0.061,0.227,0.061,0.472,0.100,0.528,0.100,0.197,0.576,0.066,0.161
102,0.712,0.777,0.060,0.223,0.060,0.471,0.101,0.529,0.101,0.195,0.582,0.064,0.159
103,0.717,0.780,0.057,0.220,0.057,0.468,0.101,0.532,0.101,0.193,0.587,0.063,0.157
104,0.726,0.778,0.058,0.222,0.058,0.466,0.101,0.534,0.101,0.190,0.588,0.062,0.160
105,0.719,0.781,0.058,0.219,0.058,0.463,0.101,0.537,0.101,0.190,0.591,0.061,0.159
106,0.742,0.782,0.059,0.218,0.059,0.461,0.101,0.539,0.101,0.187,0.595,0.059,0.158
107,0.746,0.783,0.059,0.217,0.059,0.462,0.102,0.538,0.102,0.185,0.598,0.059,0.158
108,0.756,0.785,0.057,0.215,0.057,0.463,0.101,0.537,0.101,0.187,0.598,0.058,0.156
109,0.767,0.786,0.057,0.214,0.057,0.462,0.103,0.538,0.103,0.185,0.601,0.058,0.157
110,0.785,0.784,0.058,0.216,0.058,0.463,0.102,0.537,0.102,0.185,0.599,0.058,0.158
111,0.799,0.785,0.058,0.215,0.058,0.461,0.103,0.539,0.103,0.182,0.603,0.057,0.158
112,0.799,0.785,0.059,0.215,0.059,0.460,0.103,0.540,0.103,0.180,0.605,0.057,0.158
113,0.790,0.786,0.058,0.214,0.058,0.458,0.103,0.542,0.103,0.180,0.606,0.056,0.158
114,0.799,0.785,0.059,0.215,0.059,0.457,0.104,0.543,0.104,0.177,0.608,0.056,0.159
115,0.802,0.786,0.059,0.214,0.059,0.456,0.103,0.544,0.103,0.177,0.609,0.055,0.159
116,0.805,0.786,0.059,0.214,0.059,0.460,0.103,0.540,0.103,0.179,0.607,0.055,0.158
117,0.810,0.789,0.056,0.211,0.056,0.458,0.103,0.542,0.103,0.178,0.611,0.054,0.157
118,0.822,0.790,0.055,0.210,0.055,0.457,0.104,0.543,0.104,0.175,0.614,0.053,0.158
119,0.825,0.790,0.056,0.210,0.056,0.456,0.103,0.544,0.103,0.175,0.615,0.053,0.157
120,0.834,0.792,0.056,0.208,0.056,0.456,0.103,0.544,0.103,0.174,0.618,0.052,0.156
121,0.858,0.792,0.056,0.208,0.056,0.455,0.103,0.545,0.103,0.172,0.620,0.051,0.157
122,0.857,0.792,0.057,0.208,0.057,0.455,0.104,0.545,0.104,0.170,0.622,0.051,0.157
123,0.853,0.793,0.057,0.207,0.057,0.453,0.104,0.547,0.104,0.168,0.625,0.050,0.157
124,0.863,0.795,0.057,0.205,0.057,0.452,0.104,0.548,0.104,0.166,0.629,0.050,0.155
125,0.863,0.794,0.057,0.206,0.057,0.452,0.106,0.548,0.106,0.164,0.630,0.049,0.156
126,0.863,0.795,0.058,0.205,0.058,0.451,0.106,0.549,0.106,0.163,0.632,0.049,0.156
127,0.868,0.794,0.058,0.206,0.058,0.451,0.107,0.549,0.107,0.162,0.632,0.049,0.157
128,0.872,0.795,0.058,0.205,0.058,0.452,0.107,0.548,0.107,0.161,0.635,0.049,0.156
129,0.875,0.798,0.057,0.202,0.057,0.450,0.108,0.550,0.108,0.159,0.639,0.048,0.155
130,0.881,0.798,0.057,0.202,0.057,0.448,0.108,0.552,0.108,0.157,0.642,0.047,0.155
131,0.894,0.798,0.058,0.202,0.058,0.448,0.108,0.552,0.108,0.155,0.643,0.046,0.155
132,0.896,0.797,0.058,0.203,0.058,0.446,0.109,0.554,0.109,0.153,0.644,0.046,0.157
133,0.893,0.798,0.058,0.202,0.058,0.444,0.109,0.556,0.109,0.152,0.646,0.046,0.156
134,0.902,0.799,0.059,0.201,0.059,0.442,0.109,0.558,0.109,0.150,0.649,0.045,0.156
135,0.899,0.799,0.059,0.201,0.059,0.439,0.108,0.561,0.108,0.148,0.651,0.045,0.156
136,0.905,0.800,0.059,0.200,0.059,0.439,0.108,0.561,0.108,0.148,0.652,0.045,0.155
137,0.917,0.800,0.060,0.200,0.060,0.440,0.109,0.560,0.109,0.146,0.653,0.045,0.156
138,0.926,0.801,0.060,0.199,0.060,0.441,0.108,0.559,0.108,0.148,0.653,0.045,0.155
139,0.935,0.802,0.061,0.198,0.061,0.440,0.108,0.560,0.108,0.147,0.655,0.044,0.154
140,0.945,0.803,0.061,0.197,0.061,0.439,0.109,0.561,0.109,0.145,0.658,0.043,0.154
141,0.949,0.804,0.059,0.196,0.059,0.441,0.108,0.559,0.108,0.147,0.658,0.043,0.153
142,0.962,0.805,0.060,0.195,0.060,0.442,0.109,0.558,0.109,0.146,0.660,0.043,0.152
143,0.958,0.804,0.060,0.196,0.060,0.442,0.109,0.558,0.109,0.145,0.659,0.043,0.153
144,0.967,0.805,0.060,0.195,0.060,0.442,0.110,0.558,0.110,0.144,0.662,0.043,0.152
145,0.979,0.807,0.060,0.193,0.060,0.442,0.109,0.558,0.109,0.144,0.664,0.043,0.150
146,0.974,0.807,0.061,0.193,0.061,0.442,0.110,0.558,0.110,0.143,0.665,0.042,0.150
147,0.982,0.807,0.061,0.193,0.061,0.441,0.110,0.559,0.110,0.141,0.667,0.042,0.151
148,0.994,0.809,0.059,0.191,0.059,0.441,0.111,0.559,0.111,0.140,0.669,0.041,0.150
149,0.996,0.809,0.060,0.191,0.060,0.442,0.110,0.558,0.110,0.142,0.667,0.041,0.149
150,1.012,0.810,0.059,0.190,0.059,0.442,0.111,0.558,0.111,0.140,0.670,0.041,0.149
151,1.018,0.810,0.058,0.190,0.058,0.443,0.110,0.557,0.110,0.140,0.670,0.040,0.150
152,1.014,0.810,0.058,0.190,0.058,0.442,0.110,0.558,0.110,0.139,0.671,0.040,0.150
153,1.025,0.810,0.058,0.190,0.058,0.441,0.110,0.559,0.110,0.138,0.673,0.040,0.150
154,1.023,0.810,0.058,0.190,0.058,0.442,0.110,0.558,0.110,0.138,0.672,0.040,0.149
155,1.028,0.809,0.058,0.191,0.058,0.442,0.111,0.558,0.111,0.137,0.672,0.040,0.151
156,1.020,0.810,0.058,0.190,0.058,0.444,0.112,0.556,0.112,0.137,0.673,0.041,0.150
157,1.027,0.810,0.059,0.190,0.059,0.446,0.111,0.554,0.111,0.142,0.668,0.041,0.149
158,1.035,0.810,0.057,0.190,0.057,0.447,0.111,0.553,0.111,0.141,0.670,0.041,0.149
159,1.038,0.809,0.058,0.191,0.058,0.446,0.112,0.554,0.112,0.138,0.670,0.041,0.151
160,1.053,0.811,0.056,0.189,0.056,0.445,0.112,0.555,0.112,0.137,0.674,0.039,0.150
161,1.048,0.812,0.056,0.188,0.056,0.444,0.113,0.556,0.113,0.135,0.677,0.039,0.150
162,1.046,0.812,0.057,0.188,0.057,0.445,0.112,0.555,0.112,0.135,0.677,0.039,0.149
163,1.053,0.813,0.057,0.187,0.057,0.445,0.113,0.555,0.113,0.133,0.679,0.038,0.149
164,1.058,0.812,0.057,0.188,0.057,0.443,0.113,0.557,0.113,0.131,0.681,0.038,0.150
165,1.066,0.813,0.056,0.187,0.056,0.443,0.114,0.557,0.114,0.130,0.683,0.037,0.150
166,1.067,0.814,0.056,0.186,0.056,0.443,0.114,0.557,0.114,0.130,0.685,0.037,0.149
167,1.083,0.815,0.057,0.185,0.057,0.444,0.114,0.556,0.114,0.129,0.686,0.037,0.149
168,1.091,0.816,0.057,0.184,0.057,0.446,0.113,0.554,0.113,0.133,0.683,0.038,0.146
169,1.088,0.816,0.057,0.184,0.057,0.446,0.114,0.554,0.114,0.132,0.684,0.037,0.147
170,1.096,0.818,0.056,0.182,0.056,0.445,0.114,0.555,0.114,0.131,0.688,0.036,0.146
171,1.115,0.820,0.055,0.180,0.055,0.446,0.113,0.554,0.113,0.132,0.688,0.036,0.144
172,1.125,0.820,0.056,0.180,0.056,0.447,0.112,0.553,0.112,0.134,0.686,0.036,0.144
173,1.133,0.820,0.056,0.180,0.056,0.448,0.110,0.552,0.110,0.139,0.681,0.037,0.143
174,1.150,0.820,0.056,0.180,0.056,0.448,0.111,0.552,0.111,0.137,0.684,0.037,0.143
175,1.148,0.820,0.057,0.180,0.057,0.448,0.110,0.552,0.110,0.136,0.684,0.037,0.143
176,1.151,0.821,0.057,0.179,0.057,0.447,0.108,0.553,0.108,0.135,0.686,0.037,0.142
177,1.156,0.821,0.057,0.179,0.057,0.446,0.107,0.554,0.107,0.134,0.687,0.037,0.142
178,1.160,0.822,0.058,0.178,0.058,0.447,0.106,0.553,0.106,0.136,0.686,0.037,0.141
179,1.172,0.822,0.058,0.178,0.058,0.445,0.106,0.555,0.106,0.134,0.689,0.036,0.141
180,1.186,0.822,0.057,0.178,0.057,0.445,0.107,0.555,0.107,0.131,0.691,0.036,0.142
181,1.189,0.822,0.057,0.178,0.057,0.445,0.106,0.555,0.106,0.135,0.687,0.036,0.142
182,1.204,0.823,0.057,0.177,0.057,0.447,0.106,0.553,0.106,0.134,0.688,0.036,0.141
183,1.201,0.822,0.058,0.178,0.058,0.449,0.105,0.551,0.105,0.134,0.687,0.036,0.142
184,1.196,0.821,0.058,0.179,0.058,0.451,0.105,0.549,0.105,0.138,0.683,0.037,0.142
185,1.200,0.823,0.057,0.177,0.057,0.449,0.105,0.551,0.105,0.137,0.686,0.037,0.140
186,1.203,0.824,0.057,0.176,0.057,0.449,0.105,0.551,0.105,0.136,0.688,0.037,0.139
187,1.208,0.824,0.057,0.176,0.057,0.448,0.105,0.552,0.105,0.134,0.690,0.036,0.140
188,1.210,0.825,0.056,0.175,0.056,0.448,0.105,0.552,0.105,0.133,0.692,0.036,0.139
189,1.214,0.826,0.056,0.174,0.056,0.448,0.106,0.552,0.106,0.132,0.693,0.035,0.139
190,1.206,0.826,0.055,0.174,0.055,0.446,0.106,0.554,0.106,0.131,0.695,0.035,0.139
191,1.211,0.826,0.056,0.174,0.056,0.445,0.106,0.555,0.106,0.129,0.697,0.035,0.140
192,1.223,0.826,0.056,0.174,0.056,0.446,0.106,0.554,0.106,0.127,0.699,0.035,0.139
193,1.232,0.826,0.056,0.174,0.056,0.446,0.107,0.554,0.107,0.126,0.701,0.034,0.139
194,1.240,0.825,0.056,0.175,0.056,0.447,0.106,0.553,0.106,0.128,0.697,0.035,0.139
195,1.248,0.825,0.056,0.175,0.056,0.447,0.106,0.553,0.106,0.127,0.699,0.035,0.140
196,1.264,0.827,0.055,0.173,0.055,0.446,0.106,0.554,0.106,0.125,0.701,0.034,0.139
197,1.269,0.828,0.054,0.172,0.054,0.445,0.107,0.555,0.107,0.124,0.704,0.033,0.139
198,1.266,0.828,0.054,0.172,0.054,0.446,0.106,0.554,0.106,0.129,0.699,0.034,0.138
199,1.269,0.829,0.052,0.171,0.052,0.444,0.105,0.556,0.105,0.128,0.701,0.033,0.138
200,1.266,0.829,0.053,0.171,0.053,0.445,0.105,0.555,0.105,0.127,0.702,0.033,0.137
201,1.270,0.831,0.053,0.169,0.053,0.444,0.105,0.556,0.105,0.125,0.705,0.033,0.137
202,1.270,0.832,0.053,0.168,0.053,0.443,0.105,0.557,0.105,0.125,0.707,0.032,0.136
203,1.271,0.833,0.052,0.167,0.052,0.443,0.106,0.557,0.106,0.123,0.710,0.032,0.135
204,1.281,0.834,0.051,0.166,0.051,0.443,0.106,0.557,0.106,0.122,0.713,0.031,0.135
205,1.282,0.835,0.050,0.165,0.050,0.441,0.106,0.559,0.106,0.121,0.714,0.030,0.134
206,1.278,0.836,0.050,0.164,0.050,0.440,0.106,0.560,0.106,0.121,0.716,0.030,0.133
207,1.287,0.837,0.050,0.163,0.050,0.439,0.106,0.561,0.106,0.119,0.718,0.030,0.133
208,1.291,0.838,0.051,0.162,0.051,0.438,0.106,0.562,0.106,0.118,0.719,0.030,0.132
209,1.302,0.839,0.049,0.161,0.049,0.437,0.106,0.563,0.106,0.117,0.722,0.029,0.132
210,1.298,0.839,0.049,0.161,0.049,0.436,0.107,0.564,0.107,0.115,0.724,0.028,0.132
211,1.298,0.840,0.049,0.160,0.049,0.437,0.106,0.563,0.106,0.115,0.725,0.028,0.132
212,1.306,0.840,0.048,0.160,0.048,0.439,0.105,0.561,0.105,0.115,0.725,0.028,0.132
213,1.303,0.840,0.049,0.160,0.049,0.437,0.106,0.563,0.106,0.114,0.726,0.028,0.132
214,1.304,0.841,0.049,0.159,0.049,0.438,0.105,0.562,0.105,0.117,0.724,0.029,0.131
215,1.309,0.841,0.049,0.159,0.049,0.440,0.104,0.560,0.104,0.119,0.722,0.029,0.130
216,1.308,0.840,0.050,0.160,0.050,0.438,0.103,0.562,0.103,0.117,0.723,0.029,0.131
217,1.310,0.840,0.051,0.160,0.051,0.437,0.104,0.563,0.104,0.116,0.725,0.029,0.131
218,1.326,0.841,0.050,0.159,0.050,0.436,0.105,0.564,0.105,0.113,0.727,0.028,0.131
219,1.333,0.841,0.050,0.159,0.050,0.436,0.105,0.564,0.105,0.112,0.729,0.028,0.131
220,1.322,0.841,0.051,0.159,0.051,0.436,0.105,0.564,0.105,0.112,0.728,0.028,0.131
221,1.316,0.840,0.051,0.160,0.051,0.434,0.105,0.566,0.105,0.111,0.729,0.028,0.132
222,1.322,0.841,0.050,0.159,0.050,0.436,0.104,0.564,0.104,0.116,0.724,0.029,0.130
223,1.327,0.841,0.050,0.159,0.050,0.436,0.104,0.564,0.104,0.115,0.726,0.029,0.130
224,1.330,0.840,0.051,0.160,0.051,0.434,0.105,0.566,0.105,0.112,0.728,0.028,0.131
225,1.335,0.839,0.051,0.161,0.051,0.433,0.105,0.567,0.105,0.111,0.729,0.028,0.132
226,1.331,0.841,0.050,0.159,0.050,0.434,0.104,0.566,0.104,0.116,0.725,0.029,0.130
227,1.338,0.841,0.051,0.159,0.051,0.434,0.105,0.566,0.105,0.114,0.726,0.029,0.131
228,1.336,0.841,0.051,0.159,0.051,0.433,0.105,0.567,0.105,0.113,0.728,0.028,0.131
229,1.339,0.840,0.052,0.160,0.052,0.432,0.106,0.568,0.106,0.111,0.730,0.028,0.132
230,1.339,0.840,0.052,0.160,0.052,0.432,0.106,0.568,0.106,0.110,0.729,0.028,0.132
231,1.345,0.840,0.052,0.160,0.052,0.434,0.105,0.566,0.105,0.112,0.729,0.028,0.132
232,1.354,0.840,0.052,0.160,0.052,0.436,0.104,0.564,0.104,0.115,0.725,0.029,0.131
233,1.360,0.840,0.053,0.160,0.053,0.435,0.104,0.565,0.104,0.113,0.727,0.029,0.131
234,1.368,0.842,0.051,0.158,0.051,0.435,0.105,0.565,0.105,0.112,0.730,0.028,0.130
235,1.377,0.842,0.052,0.158,0.052,0.433,0.105,0.567,0.105,0.111,0.731,0.027,0.130
236,1.381,0.843,0.051,0.157,0.051,0.433,0.105,0.567,0.105,0.110,0.733,0.027,0.130
237,1.391,0.844,0.050,0.156,0.050,0.433,0.105,0.567,0.105,0.109,0.735,0.026,0.130
238,1.408,0.845,0.050,0.155,0.050,0.433,0.105,0.567,0.105,0.107,0.738,0.026,0.129
239,1.415,0.845,0.050,0.155,0.050,0.431,0.105,0.569,0.105,0.106,0.740,0.026,0.129
240,1.427,0.846,0.050,0.154,0.050,0.430,0.105,0.570,0.105,0.104,0.742,0.025,0.129
241,1.429,0.845,0.050,0.155,0.050,0.430,0.106,0.570,0.106,0.102,0.743,0.025,0.130
242,1.440,0.846,0.049,0.154,0.049,0.429,0.106,0.571,0.106,0.101,0.745,0.024,0.129
243,1.445,0.847,0.048,0.153,0.048,0.429,0.106,0.571,0.106,0.100,0.747,0.024,0.129
244,1.447,0.848,0.048,0.152,0.048,0.428,0.106,0.572,0.106,0.099,0.748,0.024,0.129
245,1.446,0.848,0.047,0.152,0.047,0.426,0.106,0.574,0.106,0.098,0.751,0.024,0.128
246,1.451,0.849,0.047,0.151,0.047,0.426,0.107,0.574,0.107,0.096,0.752,0.023,0.128
247,1.451,0.849,0.048,0.151,0.048,0.424,0.107,0.576,0.107,0.095,0.753,0.023,0.128
248,1.451,0.850,0.046,0.150,0.046,0.423,0.107,0.577,0.107,0.095,0.755,0.023,0.127
249,1.458,0.852,0.044,0.148,0.044,0.423,0.107,0.577,0.107,0.094,0.757,0.022,0.126
250,1.457,0.852,0.045,0.148,0.045,0.425,0.106,0.575,0.106,0.096,0.756,0.022,0.126
251,1.453,0.851,0.045,0.149,0.045,0.424,0.106,0.576,0.106,0.095,0.756,0.022,0.126
252,1.463,0.852,0.045,0.148,0.045,0.424,0.107,0.576,0.107,0.094,0.758,0.022,0.127
253,1.470,0.852,0.046,0.148,0.046,0.423,0.107,0.577,0.107,0.093,0.759,0.021,0.127
254,1.478,0.853,0.046,0.147,0.046,0.422,0.107,0.578,0.107,0.091,0.761,0.021,0.126
