Time,Node-Strength-Variance,P1_Strategy1-Mean,P1_Strategy1-Variance,P1_Strategy2-Mean,P1_Strategy2-Variance,P2_Strategy1-Mean,P2_Strategy1-Variance,P2_Strategy2-Mean,P2_Strategy2-Variance,0-0,0-1,1-0,1-1
1,0.000,0.511,0.012,0.489,0.012,0.518,0.013,0.482,0.013,0.264,0.247,0.253,0.236
2,0.001,0.520,0.016,0.480,0.016,0.488,0.017,0.512,0.017,0.253,0.267,0.234,0.247
3,0.002,0.506,0.022,0.494,0.022,0.531,0.020,0.469,0.020,0.268,0.238,0.262,0.232
4,0.003,0.525,0.031,0.475,0.031,0.505,0.024,0.495,0.024,0.264,0.261,0.239,0.236
5,0.004,0.524,0.037,0.476,0.037,0.497,0.028,0.503,0.028,0.259,0.265,0.236,0.240
6,0.005,0.529,0.042,0.471,0.042,0.495,0.033,0.505,0.033,0.258,0.270,0.232,0.239
7,0.005,0.542,0.049,0.458,0.049,0.496,0.030,0.504,0.030,0.265,0.277,0.226,0.232
8,0.007,0.538,0.056,0.462,0.056,0.482,0.034,0.518,0.034,0.253,0.285,0.220,0.242
9,0.009,0.533,0.061,0.467,0.061,0.499,0.033,0.501,0.033,0.260,0.274,0.230,0.236
10,0.009,0.538,0.059,0.462,0.059,0.510,0.034,0.490,0.034,0.268,0.270,0.233,0.229
11,0.008,0.548,0.055,0.452,0.055,0.494,0.033,0.506,0.033,0.265,0.282,0.221,0.231
12,0.010,0.554,0.058,0.446,0.058,0.503,0.038,0.497,0.038,0.273,0.281,0.222,0.224
13,0.011,0.556,0.061,0.444,0.061,0.514,0.040,0.486,0.040,0.280,0.276,0.225,0.218
14,0.011,0.558,0.064,0.442,0.064,0.518,0.042,0.482,0.042,0.283,0.275,0.226,0.215
15,0.013,0.559,0.060,0.441,0.060,0.513,0.044,0.487,0.044,0.279,0.280,0.222,0.219
16,0.017,0.558,0.062,0.442,0.062,0.519,0.048,0.481,0.048,0.279,0.279,0.224,0.218
17,0.020,0.560,0.060,0.440,0.060,0.521,0.052,0.479,0.052,0.280,0.280,0.221,0.218
18,0.022,0.560,0.063,0.440,0.063,0.529,0.051,0.471,0.051,0.284,0.276,0.225,0.215
19,0.025,0.567,0.064,0.433,0.064,0.528,0.051,0.472,0.051,0.287,0.280,0.221,0.212
20,0.026,0.569,0.064,0.431,0.064,0.545,0.051,0.455,0.051,0.296,0.272,0.227,0.205
21,0.026,0.575,0.065,0.425,0.065,0.547,0.052,0.453,0.052,0.300,0.274,0.224,0.201
